id,name,house,concentration,gender,family,top_notes,middle_notes,base_notes,year,description_ko,longevity_avg,projection_avg,rating_avg,accords,keywords_ko,season,occasion,intensity,warmth,sweetness,popularity,price_tier
1,Ege,Nishane,Extrait de Parfum,Unisex,Aquatic Woody,"Bergamot, Lemon, Grapefruit","Jasmine, Iris, Violet","Ambergris, Musk, Driftwood",2015,지중해 바다를 담은 상쾌하고 깨끗한 수분계 향수,8,7,4.2,"Aquatic, Woody, Musky, Fresh","신선한, 깔끔한, 차가운, 그린한","Spring, Summer","Casual, Office, Date",2,2,1,8,Luxury
2,Baccarat Rouge 540,Maison Francis Kurkdjian,EDP,Unisex,Floral Amber,"Saffron, Jasmine","Amberwood, Ambergris","Fir Resin, Cedar",2015,달콤하고 관능적인 앰버 플로럴. 독보적인 존재감,9,9,4.5,"Amber, Floral, Sweet, Woody","달콤한, 관능적인, 강렬한, 따뜻한","Fall, Winter","Date, Evening, Formal",5,4,4,10,Ultra
3,Santal 33,Le Labo,EDP,Unisex,Woody Spicy,"Violet, Cardamom","Iris, Ambrox","Sandalwood, Cedarwood, Leather",2011,스모키하고 크리미한 샌달우드. 뉴욕 감성의 시그니처,7,6,4.0,"Woody, Smoky, Spicy, Leather","스모키한, 크리미한, 우디한, 드라이한","Fall, Winter, Spring","Casual, Office, Date",3,3,2,10,Luxury
4,Pegasus,Parfums de Marly,EDP,Male,Aromatic Gourmand,"Bergamot, Lavender","Heliotrope, Jasmine","Sandalwood, Vanilla, Musk",2011,부드럽고 파우더리한 라벤더 바닐라 우디 향,8,7,4.3,"Powdery, Woody, Sweet, Floral","파우더리한, 달콤한, 크리미한, 따뜻한","Spring, Fall","Date, Formal, Evening",3,4,4,9,Luxury
5,Eau Givree,Tauer Perfumes,EDP,Unisex,Woody Chypre,"Bergamot, Pink Pepper","Rose, Jasmine","Oakmoss, Vetiver, Musk",2020,시원하고 얼음처럼 깨끗한 우디 시프레,8,6,4.1,"Woody, Chypre, Mossy, Floral","차가운, 깔끔한, 드라이한, 우디한","Spring, Summer, Fall","Casual, Office, Date",3,2,1,6,Luxury
6,Sycomore,Chanel,EDP,Unisex,Woody Smoky,"Pink Pepper, Juniper","Vetiver, Sandalwood","Oakmoss, Musk, Cedarwood",2008,스모키하고 건조한 베티버 우드. 샤넬 레 엑스클루시프의 명작,7,6,4.4,"Woody, Smoky, Earthy, Spicy","스모키한, 드라이한, 우디한, 강렬한","Fall, Winter","Casual, Office, Evening",3,2,1,8,Luxury
7,Coromandel,Chanel,EDP,Unisex,Oriental Woody,"Citrus, Pink Pepper","Patchouli, Jasmine","Benzoin, White Musk, Labdanum",2007,따뜻하고 우아한 파우더리 파츄리 오리엔탈,8,7,4.3,"Woody, Oriental, Powdery, Sweet","파우더리한, 따뜻한, 관능적인, 우디한","Fall, Winter","Evening, Date, Formal",4,4,3,8,Luxury
8,Le Lion,Chanel,EDP,Unisex,Woody Spicy,"Bergamot, Cardamom","Rose, Oud","Sandalwood, Amber, Musk",2019,강렬하고 왕족적인 우드 스파이시. 위엄 있는 존재감,8,8,4.2,"Woody, Spicy, Oud, Amber","강렬한, 스파이시한, 우디한, 이국적인","Fall, Winter","Evening, Date, Formal",4,4,2,7,Luxury
9,Bois Imperial,Ex Nihilo,EDP,Unisex,Woody Amber,"Bergamot, Ginger","Oud, Rose","Sandalwood, Musk, Vanilla",2016,크리미하고 달콤한 우드 앰버. 부드러운 오우드,8,7,4.2,"Woody, Amber, Sweet, Oud","크리미한, 달콤한, 우디한, 따뜻한","Fall, Winter","Date, Evening, Casual",3,4,3,8,Luxury
10,Imagination,Louis Vuitton,EDP,Male,Aromatic Aquatic,"Bergamot, Grapefruit","Petitgrain, Vetiver","Cedar, Musk",2019,깔끔하고 세련된 시트러스 우디. LV 특유의 고급스러움,7,6,4.1,"Citrus, Woody, Aquatic, Fresh","깔끔한, 신선한, 시트러시한, 가벼운","Spring, Summer","Casual, Office, Sport",2,2,1,7,Ultra
